name,handle,domain
Zainab Usman,MssZeeUsman,politics
JJ. Omojuwa,Omojuwa,politics
Gimba Kakanda,gimbakakanda,politics
Aisha Yesufu,AishaYesufu,politics
AYO SOGUNRO,ayosogunro,politics
Mr. Aye Dee,MrAyeDee,politics
'Gbénga Sèsan,gbengasesan,politics
The Godfather,Ayourb,politics
Khaleesi,AbangMercy,politics
Chidi Okereke,Chydee,politics
Ada Ọpia Egbe,blossomozurumba,politics
Rosanwo,rosanwo,politics
HENRY Okelue,4eyedmonk,politics
Onye Nkuzi,cchukudebelu,politics
Demola Olarewaju,DemolaRewaju,politics
Muhammadu Buhari (@mbuhari),@mbuhari,politics
Dr Dipo Awojide (@OgbeniDipo),@OgbeniDipo,politics
Segalink (@segalink),@segalink,politics
Four-Eyed Edo Boy (@Alex_Houseof308),@Alex_Houseof308,entertainment
Atiku Abubakar (@atiku),@atiku,politics
Davido (@davido),@davido,entertainment
Reno Omokri (@renoomokri),@renoomokri,politics
Valking (@_valkiing),@_valkiing,entertainment
Big Brother Naija (@bbnaija),@bbnaija,entertainment
Michael Collins @DONJAZZY,@DONJAZZY,entertainment
Nasir El-Rufai @Elrufai,@Elrufai,politics
Ali Baba Akporobome @ALIBABAGCFR,@ALIBABAGCFR,entertainment
Ay Comedian @AYCOMEDIAN,@AYCOMEDIAN,entertainment
Tiwa Savage @TiwaSavage,@TiwaSavage,entertainment
Linda Ikeji @lindaikeji,@lindaikeji,entertainment
Omotola Jolade @Realomosexy,@Realomosexy,entertainment
Bella Naija @bellanaija,@bellanaija,entertainment
Dbanj Kokmaster @iamdbanj,@iamdbanj,entertainment
ItweetNaija @Itweetnaija,@Itweetnaija,entertainment
9ja Olofofo @9ja_olofofo,@9ja_olofofo,entertainment
Olufunke Akindele @funkeakindele,@funkeakindele,entertainment
Mo Abudu @Moabudu,@Moabudu,entertainment
Kemi Adetiba @kemiadetiba,@kemiadetiba,entertainment
Jude Abaga @MI_Abaga,@MI_Abaga,entertainment
Mercy Eke @real_mercyeke,@real_mercyeke,entertainment
TACHA🔱🇳🇬🇬🇭 @Symply_Tacha,@Symply_Tacha,entertainment
Laycon @Itslaycon,@Itslaycon,entertainment
Stears Business @StearsBusiness,@StearsBusiness,finance
Osaretin Victor Asemota @asemota,@asemota,finance
Central Bank of Nigeria @cenbank,@cenbank,finance
BudgIT Nigeria @BudgITng,@BudgITng,finance
Financial Nigeria @FinancialNG,@FinancialNG,finance
Chuba Ezekwesili @ChubaEzeks,@ChubaEzeks,finance
Preston Timeyin Ideh @TimeyinPI,@TimeyinPI,finance
APC Nigeria @OfficialAPCNg,@OfficialAPCNg,politics
Official PDP Nigeria @OfficialPDPNig,@OfficialPDPNig,politics
Garba Shehu @GarShehu,@GarShehu,politics
